Source,Target
PunctureWalIa,pbhushan1
PunctureWalIa,RahulGandhi
PunctureWalIa,MattWallace888
PunctureWalIa,Cobratate
PunctureWalIa,ShashiTharoor
PunctureWalIa,IamSanjuSamson
PunctureWalIa,BCCI
PunctureWalIa,JM_Scindia
PunctureWalIa,ThaiSmileAirway
PunctureWalIa,GabbbarSingh
PunctureWalIa,JM_Scindia
PunctureWalIa,MrBeast
PunctureWalIa,apsknight_
PunctureWalIa,0RRCA
PunctureWalIa,WF_Watcher
PunctureWalIa,WFRising
PunctureWalIa,ChristinMP_TOI
PunctureWalIa,satishacharya
PunctureWalIa,LostButterfly29
PunctureWalIa,MrBeast
PunctureWalIa,elonmusk
PunctureWalIa,Tejasvi_Surya
PunctureWalIa,Cobratate
PunctureWalIa,SeharShinwari
PunctureWalIa,ravishndtv
PunctureWalIa,TusharG
PunctureWalIa,Chandrakbose
PunctureWalIa,sardesairajdeep
PunctureWalIa,Cobratate
kirudevadiga,HananyaNaftali
kirudevadiga,ReallySwara
kirudevadiga,bharatjodo
kirudevadiga,RahulGandhi
kirudevadiga,INCIndia
kirudevadiga,ImranKhanPTI
kirudevadiga,daniel86cricket
kirudevadiga,daniel86cricket
kirudevadiga,PunyaPurush
kirudevadiga,OIC_OCI
kirudevadiga,veerappavenkap1
kirudevadiga,tunkuv
kirudevadiga,RahulGandhi
kirudevadiga,KhaledBeydoun
kirudevadiga,zahacktanvir
kirudevadiga,MumbaiPolice
kirudevadiga,HMOIndia
kirudevadiga,TheHusseinKhan
kirudevadiga,MumbaiPolice
kirudevadiga,KapilMishra_IND
kirudevadiga,CPDelhi
kirudevadiga,CPDelhi
kirudevadiga,HMOIndia
kirudevadiga,LeenaManimekali
kirudevadiga,AgaKhanMuseum
kirudevadiga,YorkuAMPD
kirudevadiga,TorontoMet
kirudevadiga,YorkUFGS
kirudevadiga,RahulGandhi
kirudevadiga,Kaynatkhanca
kirudevadiga,ishehnaaz_gill
kirudevadiga,Kaynatkhanca
kirudevadiga,Kaynatkhanca
kirudevadiga,melbournepolice
kirudevadiga,indinAustralia
vt82878,roy_niwas
vt82878,ashi_kumr
vt82878,IndiaToday
vt82878,Milan_reports
vt82878,snehamordani
vt82878,ashi_kumr
vt82878,IndiaToday
vt82878,Milan_reports
vt82878,snehamordani
vt82878,Hayat225836
vt82878,majorgauravarya
vt82878,Taimoor31455786
vt82878,majorgauravarya
vt82878,NooreAzeemSidd1
vt82878,Introvert__00
vt82878,TheRealPCB
vt82878,Introvert__00
vt82878,TheRealPCB
vt82878,ARehmanSahi
vt82878,_FaridKhan
vt82878,TheRealPCB
vt82878,thirteeentth
vt82878,TheRealPCB
vt82878,TheRealPCB
vt82878,ashi_kumr
vt82878,IndiaToday
vt82878,Milan_reports
vt82878,snehamordani
vt82878,IndiaToday
vt82878,Milan_reports
vt82878,snehamordani
vt82878,dadiyo64
vt82878,DGPR_PAF
vt82878,IFazilaBaloch
vt82878,Taha912434
vt82878,rajdeep_mz
vt82878,155b6d67bc564aa
vt82878,jadooger
vt82878,arpitGupta708
vt82878,Brad_Hogg
vt82878,jadooger
vt82878,arpitGupta708
vt82878,Brad_Hogg
vt82878,faiqk4273
vt82878,virendersehwag
vt82878,faiqk4273
vt82878,virendersehwag
vt82878,DGPR_PAF
vt82878,DGPR_PAF
vt82878,maaz_ahsan2000
vt82878,b_rajendar
vt82878,WT_Lucifer
vt82878,SirJohnBurke
sanjuktaroyvai1,SanaEjaz_
sanjuktaroyvai1,IamOnir
sanjuktaroyvai1,iamharunkhan
sanjuktaroyvai1,khan_zafarul
sanjuktaroyvai1,Habeebinamdar
sanjuktaroyvai1,SirKazamJeevi
sanjuktaroyvai1,WAKhan337
sanjuktaroyvai1,RURALINDIA
sanjuktaroyvai1,mangal322
sanjuktaroyvai1,SpiritOfCongres
sanjuktaroyvai1,chandnii__
sanjuktaroyvai1,AcharyaAaramdev
sanjuktaroyvai1,abhaShukla23
sanjuktaroyvai1,shaikhshameela
sanjuktaroyvai1,Shirinkhan0
sanjuktaroyvai1,chanky_2009
