Source,Target
Nishwins1,#HappyNewYear
Nishwins1,#AUSvsSA
citizenNA,#KeirStarmer
citizenNA,#FordeReport
citizenNA,#LabourParty
citizenNA,#NHSStrikes
citizenNA,#HarryandMeghanonNetflix
citizenNA,#BBCQuestionTime
citizenNA,#BBCQuestionTime
dschamyal,#timesofindia
dschamyal,#timesofindia
dschamyal,#LifeLesson
dschamyal,#Poltergeist
dschamyal,#truelove
dschamyal,#GovindaNaamMera
dschamyal,#FarooqAbdullah
dschamyal,#FarooqAbdullah
dschamyal,#FarooqAbdullah
dschamyal,#SheikhAbdullah
dschamyal,#SheikhAbdullah
dschamyal,#SheikhAbdullah
dschamyal,#weightlosstips
dschamyal,#weightlosstransformation
dschamyal,#OROPRevised
dschamyal,#OROPRevised
dschamyal,#OROPRevised
dschamyal,#2024election
dschamyal,#2024election
dschamyal,#2024election
dschamyal,#holidays
dschamyal,#GovindaNaamMera
dschamyal,#glenlivet
dschamyal,#glenlivet
dschamyal,#scotchwhisky
dschamyal,#scotchwhisky
dschamyal,#MoneyHeist
VickyHanumant,#VikramOnDisneyplusHotstar
VickyHanumant,#VikramOnDisneyplusHotstar
VickyHanumant,#VikramRoaringSuccess
VickyHanumant,#VikramRoaringSuccess
dcemeterygirl,#end
dcemeterygirl,#end
dcemeterygirl,#end
dcemeterygirl,#end
Ksharkhowa,#Nidhimoment
Ksharkhowa,#dhakkankoun
pairamblr,#IndianRailways
pairamblr,#UnionRailwaysMinister
