Source,Target
PrasadSatya10,ians_india
PrasadSatya10,Twitter
PrasadSatya10,Indrani1_Roy
PrasadSatya10,EkNashwar
PrasadSatya10,rushlane
PrasadSatya10,Uber_India
PrasadSatya10,Olacabs
PrasadSatya10,mmpandey
PrasadSatya10,mishra_abhi
PrasadSatya10,PMOIndia
PrasadSatya10,rajnathsingh
PrasadSatya10,PMOIndia
PrasadSatya10,DefenceMinIndia
PrasadSatya10,rushlane
PrasadSatya10,Uber_India
PrasadSatya10,Olacabs
PrasadSatya10,DivaJain2
PrasadSatya10,pratimbose
PrasadSatya10,AshwiniVaishnaw
PrasadSatya10,MamataOfficial
PrasadSatya10,NewsIADN
PrasadSatya10,hvtiaf
PrasadSatya10,varinder_bansal
PrasadSatya10,anusharavi10
PrasadSatya10,hvtiaf
PrasadSatya10,nanuramu
PrasadSatya10,jyotishiralee
PrasadSatya10,Firezstarter1
PrasadSatya10,India_Progress
PrasadSatya10,svaradarajan
PrasadSatya10,thewire_in
PrasadSatya10,HariRam42245512
PrasadSatya10,hamsanandi
PrasadSatya10,maidros78
PrasadSatya10,zoo_bear
PrasadSatya10,niravstoons
PrasadSatya10,alpha_defense
PrasadSatya10,raflanker
PrasadSatya10,Tej_Intel
PrasadSatya10,elmihiro
PrasadSatya10,FrontlinerUV
PrasadSatya10,kela_khayga
PrasadSatya10,Tej_Intel
PrasadSatya10,Indian_Index
PrasadSatya10,BefittingFacts
PrasadSatya10,BJP4Bengal
PrasadSatya10,vjgtweets
PrasadSatya10,Ramandeep_Bajwa
PrasadSatya10,adgpi
PrasadSatya10,rwac48
PrasadSatya10,colhunnybakshi
PrasadSatya10,NarenMenon1
PrasadSatya10,RailwaySeva
PrasadSatya10,GargaC
PrasadSatya10,AshwiniVaishnaw
PrasadSatya10,RailMinIndia
PrasadSatya10,DivaJain2
PrasadSatya10,sbabones
PrasadSatya10,Vikramaditya_85
PrasadSatya10,elmihiro
PrasadSatya10,hirentrivedi88
PrasadSatya10,lca_tejas_
PrasadSatya10,lca_tejas_
PrasadSatya10,jai_menon
PrasadSatya10,PrabhuChawla
PrasadSatya10,covidshield
PrasadSatya10,covaxinIN
PrasadSatya10,mansukhmandviya
PrasadSatya10,PMOIndia
PrasadSatya10,ians_india
PrasadSatya10,Jairam_Ramesh
Nishwins1,thyagarajan_law
Nishwins1,memorable_90s
Nishwins1,AbhinandhanMiG2
Nishwins1,DennisCricket_
Nishwins1,Hiraviews
Nishwins1,majorgauravarya
Nishwins1,jawharsircar
Nishwins1,AkashKo09607594
Nishwins1,DennisCricket_
Nishwins1,iqra_designes
Nishwins1,DennisCricket_
Nishwins1,DennisCricket_
Nishwins1,WilliamRyanPubs
Nishwins1,RoflGandhi_
Nishwins1,ashwinravi99
Nishwins1,sixgmnvr
Nishwins1,Zebi232
Nishwins1,ReallySwara
Nishwins1,JamshedJeem
Nishwins1,Zebi232
Nishwins1,sixgmnvr
Nishwins1,Zebi232
Nishwins1,Zebi232
Nishwins1,VishalDadlani
Nishwins1,Arsal467
Nishwins1,DennisCricket_
Nishwins1,BharatiyaSpeaks
Nishwins1,minicnair
citizenNA,kelvmackenzie
citizenNA,MsCaitSpencer
citizenNA,cjwerleman
citizenNA,reema_omer
citizenNA,geonews_english
citizenNA,reema_omer
citizenNA,goddersbloom
citizenNA,PeterMcC66
citizenNA,CoopParty
citizenNA,HenMazzig
citizenNA,blakeflayton
citizenNA,LadyVelvet_HFQ
citizenNA,lukeakehurst
citizenNA,_LFI
citizenNA,MeravMichaeli
citizenNA,Keir_Starmer
citizenNA,DavidLammy
citizenNA,HavodaParty
citizenNA,UKLabour
citizenNA,HavodaParty
citizenNA,UKLabour
citizenNA,lukeakehurst
citizenNA,MahyarTousi
tellitaly,Itishree001
tellitaly,YogaofKnowledge
tellitaly,mailkashyap2002
tellitaly,Kalvapalle
tellitaly,shukla_tarun
tellitaly,IndiGo6E
tellitaly,TurkishAirlines
tellitaly,jeffrey3333333
tellitaly,natureisbruta1
tellitaly,waqasnsp
tellitaly,trinitycosmo293
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,waqasnsp
tellitaly,trinitycosmo293
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,waqasnsp
tellitaly,trinitycosmo293
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,waqasnsp
tellitaly,trinitycosmo293
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,Sat_vick
tellitaly,Art0fLife_
tellitaly,thakkar_sameet
tellitaly,ashajadeja325
tellitaly,Megatron9091
tellitaly,Yashraajsharrma
tellitaly,Nitzeit
tellitaly,waqasnsp
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,waqasnsp
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,hemalpandya1983
tellitaly,Anandi_NR
tellitaly,AmyMek
tellitaly,SolsSanctuary
tellitaly,gkmastrology
tellitaly,niSHAntH1508
tellitaly,dipti_dha
tellitaly,narendramodi
tellitaly,niSHAntH1508
tellitaly,dipti_dha
tellitaly,narendramodi
tellitaly,dipti_dha
tellitaly,narendramodi
tellitaly,Akolk11
tellitaly,AntiWoke___
tellitaly,BesuraTaansane
tellitaly,tanvig11
tellitaly,foxylilithbabe
tellitaly,foxylilithbabe
tellitaly,tanvig11
tellitaly,RDrDes75
tellitaly,Ooffenseman
tellitaly,Baystatebroker
tellitaly,volodarik
tellitaly,themkmaker
tellitaly,uunchaithemovie
tellitaly,Yashraajsharrma
tellitaly,barkhatrehan16
tellitaly,ahorl_Eteena
tellitaly,TansuYegen
tellitaly,ShimlaHelpline
tellitaly,Sweet_HoneygaI
tellitaly,Anandi_sanatani
tellitaly,Sweet_HoneygaI
tellitaly,tweetsbyzyl
tellitaly,sametoolz
tellitaly,followlasg
tellitaly,lasglandsbureau
tellitaly,jidesanwoolu
tellitaly,DreamlikeMelody
tellitaly,Hindumarathe
tellitaly,incognito0701
tellitaly,Sweet_HoneygaI
tellitaly,mariawirth1
tellitaly,Sweet_HoneygaI
tellitaly,Supriya23bh
tellitaly,Sweet_HoneygaI
dschamyal,abhivalimbe
dschamyal,TOIIndiaNews
dschamyal,adgpi
dschamyal,kamaalrkhan
dschamyal,krishnaeyee
dschamyal,LuciferVaaz
dschamyal,mickeymilind
dschamyal,aaagyaani
dschamyal,ANI
dschamyal,OmarAbdullah
