Source,Target
tuubol,#DharmicThread
tuubol,#ShushantSinghRajput
tuubol,#Bollywood
lawmaverick1,#thespiritofmumbai
lawmaverick1,#AQI
lawmaverick1,#upavanlake
lawmaverick1,#upavanlake
lawmaverick1,#SwachhBharat2022
lawmaverick1,#SwachhBharat2022
lawmaverick1,#Thane
lawmaverick1,#Thane
Pj_Keshriyagrp,#LKFC
Pj_Keshriyagrp,#LKFC
Pj_Keshriyagrp,#AayegatohModi
Pj_Keshriyagrp,#AayegatohModi
Pj_Keshriyagrp,#AayegatohModi
Pj_Keshriyagrp,#AayegatohModi
mudde_rama,#lovejihaad
mudde_rama,#UnelectedRule
mudde_rama,#Facepalm
mudde_rama,#Kantara
mudde_rama,#Kantara
Virampampaniya4,#INDvsENG
IndiaSolNW,#NoVoteForBJP
IndiaSolNW,#BharatJodoYatra
IndiaSolNW,#India
IndiaSolNW,#Hindutva
IndiaSolNW,#FreeAllPoliticalPrisoners
IndiaSolNW,#UAPA
IndiaSolNW,#ClimateJustice
IndiaSolNW,#GujratElection2022
IndiaSolNW,#BJPwillLose
IndiaSolNW,#babrimasjid
IndiaSolNW,#BJPwillLose
IndiaSolNW,#BJPwillLose
IndiaSolNW,#BJPwillLose
IndiaSolNW,#India
IndiaSolNW,#BJPwillLose
IndiaSolNW,#DalitLivesMatter
IndiaSolNW,#NoVote4BJP
IndiaSolNW,#RSSinEU
IndiaSolNW,#HSSinEU
anshsem,#JhoomeJoPathaan
