Source,Target
lonerangerin,INCIndia
lonerangerin,priyankac19
lonerangerin,rssurjewala
lonerangerin,Pawankhera
lonerangerin,NayakRagini
lonerangerin,sushantsareen
lonerangerin,desimojito
lonerangerin,MahuaMoitra
lonerangerin,honeyviscous
lonerangerin,JhaSanjay
lonerangerin,ajitdatta
lonerangerin,delhichatter
lonerangerin,Richasharma0971
lonerangerin,IPSinghSp
lonerangerin,BefittingFacts
lonerangerin,Melbourne__82
lonerangerin,SpiritOfCongres
lonerangerin,MrSinha_
lonerangerin,Schandillia
lonerangerin,N0rbertElekes
lonerangerin,CPKolkata
lonerangerin,sakshijoshii
lonerangerin,RenukaCCongress
lonerangerin,shashank_ssj
lonerangerin,Jairam_Ramesh
tuubol,narendramodi
tuubol,Starboy2079
tuubol,Girishvhp
tuubol,Pratik_Dublin
tuubol,rishibagree
tuubol,BJP4India
tuubol,ashoswai
tuubol,sumanthbharatha
tuubol,Tejasvi_Surya
tuubol,BSBommai
tuubol,sriramulubjp
tuubol,TusharSrilive
tuubol,manojsoni23
tuubol,ANI
tuubol,Dev_Fadnavis
tuubol,hvgoenka
tuubol,IncomeTaxIndia
tuubol,nsitharamanoffc
tuubol,officeofPCM
tuubol,FinMinIndia
tuubol,PIB_India
tuubol,Shivspeaks_
tuubol,deepikapadukone
tuubol,Uppolice
tuubol,ArvindKejriwal
tuubol,AltNews
tuubol,SaurabhPathakJi
tuubol,jsaideepak
tuubol,JaipurDialogues
tuubol,RituRathaur
tuubol,BhagwaanUvacha
tuubol,flyingbeast320
tuubol,AsYouNotWish
tuubol,majorgauravarya
tuubol,TheBrownUncle
tuubol,Naveen_Kr_Shahi
tuubol,Shubhrastha
tuubol,larrouturou
tuubol,zoo_bear
tuubol,AltNews
tuubol,PMOIndia
tuubol,India_NHRC
tuubol,FranceinIndia
tuubol,narendramodi
tuubol,PCITweets
tuubol,Profdilipmandal
tuubol,AcharyaPramodk
tuubol,Vedmalik1
tuubol,LicypriyaK
tuubol,hvgoenka
tuubol,pbhushan1
tuubol,JhaSanjay
tuubol,smitabarooah
tuubol,DineshKumarLive
tuubol,Atheist_Krishna
tuubol,zoo_bear
tuubol,mieknathshinde
tuubol,ShivAroor
lawmaverick1,UN
lawmaverick1,UNHumanRights
lawmaverick1,vikrantgupta73
lawmaverick1,HarmeenSoch
lawmaverick1,Sportskeeda
lawmaverick1,ishaan167
lawmaverick1,vivekagnihotri
lawmaverick1,nitin_gadkari
lawmaverick1,NHAI_Official
lawmaverick1,PMOIndia
lawmaverick1,w_karve
lawmaverick1,PChidambaram_IN
lawmaverick1,baxirahul
lawmaverick1,kaushikrj6
lawmaverick1,DaveAtherton20
lawmaverick1,baxirahul
lawmaverick1,mybmc
lawmaverick1,mybmcWardC
lawmaverick1,swati_gs
lawmaverick1,saliltripathi
lawmaverick1,sagarikaghose
lawmaverick1,sardesairajdeep
lawmaverick1,washingtonpost
lawmaverick1,drshamamohd
lawmaverick1,anandmahindra
lawmaverick1,AAPNareshBalyan
lawmaverick1,NorthStandGang
lawmaverick1,sanket
lawmaverick1,bhaleraosarang
lawmaverick1,Mumbai2PuneEway
lawmaverick1,nitin_gadkari
lawmaverick1,NorthStandGang
lawmaverick1,marinebharat
lawmaverick1,sagarikaghose
lawmaverick1,AamAadmiParty
lawmaverick1,ArvindKejriwal
lawmaverick1,WisdenIndia
lawmaverick1,AshwiniSahaya
lawmaverick1,myogiadityanath
lawmaverick1,UNICEFIndia
lawmaverick1,unicefchief
lawmaverick1,shalabhmani
lawmaverick1,NCPCR_
lawmaverick1,unwomenindia
lawmaverick1,UNWomenWatch
lawmaverick1,nytimes
lawmaverick1,jihadwatchRS
lawmaverick1,Martina
lawmaverick1,TMCaTweetAway
lawmaverick1,mieknathshinde
lawmaverick1,w_karve
lawmaverick1,TMCaTweetAway
lawmaverick1,mieknathshinde
lawmaverick1,TMCaTweetAway
lawmaverick1,mieknathshinde
lawmaverick1,TMCaTweetAway
lawmaverick1,mieknathshinde
lawmaverick1,QueenofThane
lawmaverick1,TMCaTweetAway
lawmaverick1,waglenikhil
lawmaverick1,drunkJournalist
lawmaverick1,AJEnglish
lawmaverick1,MTPHereToHelp
lawmaverick1,ReverendSpeaks
lawmaverick1,waglenikhil
lawmaverick1,NarundarM
lawmaverick1,ANI
Pj_Keshriyagrp,TechieEr
Pj_Keshriyagrp,TechieEr
Pj_Keshriyagrp,UnSubtleDesi
Pj_Keshriyagrp,_sayema
Pj_Keshriyagrp,TimesNow
Pj_Keshriyagrp,WokePandemic
Pj_Keshriyagrp,0__Shunya__0
Pj_Keshriyagrp,Ra_Bies
Pj_Keshriyagrp,DesiHathoda
Pj_Keshriyagrp,DfIlite
Pj_Keshriyagrp,SubbaRaoTN
Pj_Keshriyagrp,Richasharma0971
Pj_Keshriyagrp,SubbaRaoTN
Pj_Keshriyagrp,Richasharma0971
Pj_Keshriyagrp,narendramodi
Pj_Keshriyagrp,NagpurKaRajini
Pj_Keshriyagrp,Richasharma0971
Pj_Keshriyagrp,ChillamChilli_
Pj_Keshriyagrp,0__Shunya__0
Pj_Keshriyagrp,zoo_bear
Pj_Keshriyagrp,DgpKarnataka
Pj_Keshriyagrp,UnSubtleDesi
Pj_Keshriyagrp,MihirkJha
Pj_Keshriyagrp,dekhane_mukul
Pj_Keshriyagrp,JhaSanjay
Pj_Keshriyagrp,tehseenp
Pj_Keshriyagrp,MaharashtraMaz6
Pj_Keshriyagrp,thehawkeyex
Pj_Keshriyagrp,thehawkeyex
Pj_Keshriyagrp,RahulDubeyBABA
Pj_Keshriyagrp,INCIndia
Pj_Keshriyagrp,BesuraTaansane
Pj_Keshriyagrp,Himpant94
Pj_Keshriyagrp,TheAhmedShariff
Pj_Keshriyagrp,BesuraTaansane
Pj_Keshriyagrp,BesuraTaansane
Pj_Keshriyagrp,DeepikaSRajawat
Pj_Keshriyagrp,RudraVS
Pj_Keshriyagrp,suhasinih
Pj_Keshriyagrp,theskindoctor13
Pj_Keshriyagrp,ANI
Pj_Keshriyagrp,swati_gs
Pj_Keshriyagrp,BefittingFacts
Pj_Keshriyagrp,samarpanananda
Pj_Keshriyagrp,Kuptaan
Pj_Keshriyagrp,ikpsgill1
Pj_Keshriyagrp,BesuraTaansane
Pj_Keshriyagrp,shankariyer1955
Pj_Keshriyagrp,TVMohandasPai
Pj_Keshriyagrp,DerekJGrossman
Pj_Keshriyagrp,CorruptPunjab
Pj_Keshriyagrp,vijaygajera
Pj_Keshriyagrp,threadreaderapp
Pj_Keshriyagrp,seriousfunnyguy
Pj_Keshriyagrp,thatPunekar
Pj_Keshriyagrp,gbpm19000
Pj_Keshriyagrp,sagarikaghose
Pj_Keshriyagrp,INCIndia
Pj_Keshriyagrp,timesofindia
Pj_Keshriyagrp,RahulGandhi
Pj_Keshriyagrp,tavleen_singh
Pj_Keshriyagrp,0__Shunya__0
Pj_Keshriyagrp,desh_bhkt
Pj_Keshriyagrp,GitaSKapoor_
Pj_Keshriyagrp,MajorSimhan
Pj_Keshriyagrp,RiseofBurnol
Pj_Keshriyagrp,srinivasiyc
Pj_Keshriyagrp,TajinderBagga
Pj_Keshriyagrp,TimesNow
Pj_Keshriyagrp,Informaticafan
Pj_Keshriyagrp,ShilpiSinghINC
Pj_Keshriyagrp,RahulGandhi
Pj_Keshriyagrp,UnSubtleDesi
Pj_Keshriyagrp,noconversion
Pj_Keshriyagrp,DetheEsha
Pj_Keshriyagrp,pallavict
Pj_Keshriyagrp,NiteshNRane
Pj_Keshriyagrp,nsbchd
Pj_Keshriyagrp,HarbirSinghSuri
Pj_Keshriyagrp,kapil_kausik
Pj_Keshriyagrp,Dev_Fadnavis
Pj_Keshriyagrp,Sapna_3
Pj_Keshriyagrp,Sonalimumbai1
Pj_Keshriyagrp,SunainaHoley
Pj_Keshriyagrp,sanjayfadnavis1
Pj_Keshriyagrp,mayursejpal
Pj_Keshriyagrp,DrParasJain15
Pj_Keshriyagrp,Fidias0
Pj_Keshriyagrp,Iamharshnaik27
Pj_Keshriyagrp,elonmusk
Pj_Keshriyagrp,Fidias0
Pj_Keshriyagrp,Iamharshnaik27
Pj_Keshriyagrp,elonmusk
Pj_Keshriyagrp,sagarikaghose
Pj_Keshriyagrp,sagarikaghose
Pj_Keshriyagrp,_screenshoter
Pj_Keshriyagrp,vipul2777
Pj_Keshriyagrp,vishkanyaaaa
Pj_Keshriyagrp,Informaticafan
Pj_Keshriyagrp,soonbai2002
Pj_Keshriyagrp,samarjeet_n
Pj_Keshriyagrp,Missionself1
Pj_Keshriyagrp,aajtak
Pj_Keshriyagrp,MrSinha1988
Pj_Keshriyagrp,JumbuTweeple
Pj_Keshriyagrp,sardesairajdeep
Pj_Keshriyagrp,sardesairajdeep
Pj_Keshriyagrp,JumbuTweeple
Pj_Keshriyagrp,ShineHamesha
Pj_Keshriyagrp,ANI
Pj_Keshriyagrp,narne_kumar06
Pj_Keshriyagrp,SONOFTH45124213
Pj_Keshriyagrp,DesiHathoda
Pj_Keshriyagrp,JumbuTweeple
Pj_Keshriyagrp,MoHFW_INDIA
Pj_Keshriyagrp,PMOIndia
Pj_Keshriyagrp,mansukhmandviya
Pj_Keshriyagrp,DrBharatippawar
Pj_Keshriyagrp,PIB_India
Pj_Keshriyagrp,PIBFactCheck
Pj_Keshriyagrp,AmritMahotsav
Pj_Keshriyagrp,mygovindia
Pj_Keshriyagrp,MIB_India
Pj_Keshriyagrp,DDNewslive
Pj_Keshriyagrp,airnewsalerts
Pj_Keshriyagrp,_screenshoter
Pj_Keshriyagrp,DesiHathoda
Pj_Keshriyagrp,meshramnitin_
Pj_Keshriyagrp,VB6519
Pj_Keshriyagrp,desimojito
Pj_Keshriyagrp,desimojito
mudde_rama,BBCWorld
mudde_rama,newslaundry
mudde_rama,elonmusk
mudde_rama,narendramodi
mudde_rama,elonmusk
mudde_rama,shetty_rishab
mudde_rama,PrimeVideo
Virampampaniya4,BehaniPragati
Virampampaniya4,stats_feed
Virampampaniya4,RoohMeiY
Virampampaniya4,ankit_acerbic
Virampampaniya4,Tanmay03353240
Virampampaniya4,Arastu643808095
Virampampaniya4,vaibhavUP65
Virampampaniya4,nirahua1
Virampampaniya4,TheSaurabhLive
Virampampaniya4,vaibhavUP65
Virampampaniya4,nirahua1
Virampampaniya4,dearchappal
Virampampaniya4,GaurangBhardwa1
Virampampaniya4,MahakaviDinkar
Virampampaniya4,kathiyawadi07
Virampampaniya4,ANI
Virampampaniya4,honeyviscous
Virampampaniya4,AbhishBanerj
Virampampaniya4,JayeshG23399044
Virampampaniya4,jahanvivyasbjp
Virampampaniya4,keshu__15
Virampampaniya4,Pagal_aurat
Virampampaniya4,KashifArsalaan
Virampampaniya4,ani_digital
Virampampaniya4,ANI
Virampampaniya4,MissusPokerFace
Virampampaniya4,ianuragthakur
Virampampaniya4,FaudaOfficial
Virampampaniya4,LiorRaz
Virampampaniya4,issacharoff
Virampampaniya4,IsraelinIndia
Virampampaniya4,IFFIGoa
Virampampaniya4,PIB_India
Virampampaniya4,DDNewslive
Virampampaniya4,PBNS_India
Virampampaniya4,MIB_India
Virampampaniya4,CBC_MIB
Virampampaniya4,NCIBHQ
Virampampaniya4,RoohMeiY
Virampampaniya4,Chilled_Yogi
Virampampaniya4,Cyclistumar
Virampampaniya4,Abdullahkhan653
Virampampaniya4,ankukarwasra
Virampampaniya4,DNeurosx
Virampampaniya4,Abdullahkhan653
Virampampaniya4,ankukarwasra
Virampampaniya4,DNeurosx
Virampampaniya4,geetanjali_bhat
Virampampaniya4,swati_gs
Virampampaniya4,Anish_anny08
Virampampaniya4,ThePerilousGirl
Virampampaniya4,firki07
Virampampaniya4,Quratulainb
Virampampaniya4,_ahania
Virampampaniya4,sheraz243
Virampampaniya4,zahacktanvir
Virampampaniya4,VinodKu65197621
Virampampaniya4,lakshayhere
Virampampaniya4,SSarandkar
Virampampaniya4,NewsArenaIndia
Virampampaniya4,manpunster
Virampampaniya4,keshu__15
Virampampaniya4,ndtv
Virampampaniya4,alku_huho
Virampampaniya4,Newhere38768917
Virampampaniya4,BefittingFacts
Virampampaniya4,Sumanbarbhaya
Virampampaniya4,AsYouNotWish
Virampampaniya4,_garrywalia
Virampampaniya4,IYC
Virampampaniya4,iawoolford
Virampampaniya4,DerekJGrossman
Virampampaniya4,YoBlackPepper
Virampampaniya4,SumitkadeI
Virampampaniya4,HarshUvacha
Virampampaniya4,firki07
Virampampaniya4,dimpleyadav
Virampampaniya4,khanumarfa
Virampampaniya4,aftabsayyed69
Virampampaniya4,salaudd74813907
Virampampaniya4,Da___Engineer
Virampampaniya4,news24tvchannel
Virampampaniya4,aftabsayyed69
Virampampaniya4,salaudd74813907
Virampampaniya4,Da___Engineer
Virampampaniya4,news24tvchannel
Virampampaniya4,MehHarshil
Virampampaniya4,mxtaverse
Virampampaniya4,Sledgefort
Virampampaniya4,mxtaverse
Virampampaniya4,Being_Humor
Virampampaniya4,ShashiTharoor
Virampampaniya4,hsjsjjajajjjjk
Virampampaniya4,AMITtheTHAKUR
Virampampaniya4,ANI
Virampampaniya4,hsjsjjajajjjjk
Virampampaniya4,AMITtheTHAKUR
Virampampaniya4,ANI
Virampampaniya4,AMITtheTHAKUR
