,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1.6093869817710633e+18,1.6092140453572813e+18,1672542732000.0,2023-01-01 03:12:12,0.0,,@pbhushan1 to kya iss baat pe @RahulGandhi ko PM bana de 🤣🤣🤣🤣,tl,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,7.0,3.0,https://twitter.com/PunctureWalIa/status/1609386981771063297,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'pbhushan1', 'name': 'Prashant Bhushan', 'id': '2284802828'}]",,,,
1,1,1.6088991526621266e+18,1.60858723220156e+18,1672426424000.0,2022-12-30 18:53:44,0.0,,@MattWallace888 yes,und,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,5.0,18.0,https://twitter.com/PunctureWalIa/status/1608899152662126593,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'MattWallace888', 'name': 'Matt Wallace', 'id': '805532293951606785'}]",,,,
2,2,1.6087953073993482e+18,1.6087725736928543e+18,1672401665000.0,2022-12-30 12:01:05,0.0,,@Cobratate just build your own fucking G army. I am ready to take a bullet for you if needed.,en,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,5.0,12.0,https://twitter.com/PunctureWalIa/status/1608795307399348224,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'Cobratate', 'name': 'Andrew Tate', 'id': '333357345'}]",,,,
3,3,1.60850725678993e+18,1.6084412856309187e+18,1672332989000.0,2022-12-29 16:56:29,0.0,,@ShashiTharoor @IamSanjuSamson @BCCI ye congress party thodi hai jisko mann kiya president bana diya,hi,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,4.0,16.0,https://twitter.com/PunctureWalIa/status/1608507256789929985,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'ShashiTharoor', 'name': 'Shashi Tharoor', 'id': '24705126'}, {'screen_name': 'IamSanjuSamson', 'name': 'Sanju Samson', 'id': '428234009'}, {'screen_name': 'BCCI', 'name': 'BCCI', 'id': '185142711'}]",,,,
4,4,1.6085063503127798e+18,1.6085053457727857e+18,1672332773000.0,2022-12-29 16:52:53,0.0,,@JM_Scindia @ThaiSmileAirway Thank you sir. that was much needed. Good to see such pro active personnel help run this sector. Our aviation and our country is in safe hands. :),en,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,4.0,16.0,https://twitter.com/PunctureWalIa/status/1608506350312779780,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'JM_Scindia', 'name': 'Jyotiraditya M. Scindia', 'id': '2892809359'}, {'screen_name': 'ThaiSmileAirway', 'name': 'Thai Smile Airways', 'id': '2797334761'}]",,,,
5,5,1.6081674302785085e+18,1.6081383058494177e+18,1672251968000.0,2022-12-28 18:26:08,0.0,,@GabbbarSingh @JM_Scindia please ban these hooligans from ever entering an aircraft again,en,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,3.0,18.0,https://twitter.com/PunctureWalIa/status/1608167430278508546,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'GabbbarSingh', 'name': 'Gabbar', 'id': '108391251'}]",,,,
6,6,1.6072520990831534e+18,1.6071978984245862e+18,1672033736000.0,2022-12-26 05:48:56,0.0,,"@MrBeast Andrew tate, Logan paul, Jake paul",ht,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,1.0,5.0,https://twitter.com/PunctureWalIa/status/1607252099083153409,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'MrBeast', 'name': 'MrBeast', 'id': '2455740283'}]",,,,
7,7,1.6061892524499272e+18,1.6061867332842414e+18,1671780333000.0,2022-12-23 07:25:33,0.0,,@apsknight_ @0RRCA @WF_Watcher @WFRising @ChristinMP_TOI  https://t.co/D617sKsiZf,qme,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,5.0,7.0,https://twitter.com/PunctureWalIa/status/1606189252449927169,[],['https://pbs.twimg.com/tweet_video_thumb/FkpUmzBUcAAph8i.jpg'],1.0,https://pbs.twimg.com/tweet_video_thumb/FkpUmzBUcAAph8i.jpg,False,1.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'apsknight_', 'name': 'Aman Pratap Singh', 'id': '1339266476'}, {'screen_name': '0RRCA', 'name': 'Outer Ring Road Companies Association ®', 'id': '1169934345248763904'}, {'screen_name': 'WF_Watcher', 'name': 'Bangalore Metro Updates', 'id': '771971623423324161'}, {'screen_name': 'WFRising', 'name': 'Whitefield Rising', 'id': '2242672866'}]",,,,
8,8,1.6059733059364454e+18,1.6057634327995392e+18,1671728848000.0,2022-12-22 17:07:28,0.0,,@satishacharya kuch kaam dhanda kar le lodu.. abhi tak cartoon pe hi reh gaya,hi,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,4.0,17.0,https://twitter.com/PunctureWalIa/status/1605973305936445442,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'satishacharya', 'name': 'Satish Acharya', 'id': '25106021'}]",,,,
9,9,1.6059692406828155e+18,1.6058704459868283e+18,1671727879000.0,2022-12-22 16:51:19,0.0,,@LostButterfly29 No,und,[],[],830640354.0,830640354.0,PunctureWalIa,PunctureWala,4.0,16.0,https://twitter.com/PunctureWalIa/status/1605969240682815488,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'LostButterfly29', 'name': 'Lost Butterfly 🦋', 'id': '1463409361154240516'}]",,,,
