,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1.6095187944474173e+18,1.6095139444939817e+18,1672574158000.0,2023-01-01 11:55:58,0.0,,@ians_india @Twitter Good show.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,11.0,https://twitter.com/PrasadSatya10/status/1609518794447417344,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'ians_india', 'name': 'IANS', 'id': '141584822'}, {'screen_name': 'Twitter', 'name': 'Twitter', 'id': '783214'}]",,,,
1,1,1.6094628528800604e+18,1.6092642525311386e+18,1672560821000.0,2023-01-01 08:13:41,0.0,,@Indrani1_Roy Wish you also a great 2023.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,8.0,https://twitter.com/PrasadSatya10/status/1609462852880060418,[],[],0.0,,False,1.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'Indrani1_Roy', 'name': 'Indranil Roy', 'id': '1075586578464989184'}]",,,,
2,2,1.6094495780672758e+18,1.6094322236185887e+18,1672557656000.0,2023-01-01 07:20:56,0.0,,"@EkNashwar @rushlane @Uber_India @Olacabs The services of these service providers have really gone sour. Killed old yellow taxi service, established monopolies  and now harassing customers with undependable services.",en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,7.0,https://twitter.com/PrasadSatya10/status/1609449578067275777,[],[],0.0,,False,2.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'EkNashwar', 'name': 'एक नश्वर', 'id': '1339652837408567297'}, {'screen_name': 'rushlane', 'name': 'RushLane', 'id': '20754167'}, {'screen_name': 'Uber_India', 'name': 'Uber India', 'id': '1969337858'}, {'screen_name': 'Olacabs', 'name': 'Ola', 'id': '233973953'}]",,,,
3,3,1.6094485113509233e+18,1.6094057994446643e+18,1672557401000.0,2023-01-01 07:16:41,0.0,,@mmpandey @mishra_abhi @PMOIndia @rajnathsingh Maybe @PMOIndia @DefenceMinIndia should send across a message by prematurely retiring  top management with dubious history. Fish rots from the head ?,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,7.0,https://twitter.com/PrasadSatya10/status/1609448511350923265,[],[],0.0,,False,7.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'mmpandey', 'name': 'Man Mohan Pandey', 'id': '3032278158'}, {'screen_name': 'mishra_abhi', 'name': 'Abhinandan Mishra', 'id': '18719736'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'rajnathsingh', 'name': 'Rajnath Singh', 'id': '1346439824'}]",,,,
4,4,1.609443570746024e+18,1.6094322236185887e+18,1672556223000.0,2023-01-01 06:57:03,0.0,,@rushlane Congratulations. We more many more penalties against  @Uber_India @Olacabs,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,6.0,https://twitter.com/PrasadSatya10/status/1609443570746023937,[],[],0.0,,False,3.0,1.0,0.0,,None,,,,,,,"[{'screen_name': 'rushlane', 'name': 'RushLane', 'id': '20754167'}]",,,,
5,5,1.6094175201797202e+18,1.6094164422268273e+18,1672550012000.0,2023-01-01 05:13:32,0.0,,"@DivaJain2 Surely, GoI is not stupid to   release subsidies without clear milestones.",en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,5.0,https://twitter.com/PrasadSatya10/status/1609417520179720193,[],[],0.0,,False,1.0,2.0,0.0,,None,,,,,,,"[{'screen_name': 'DivaJain2', 'name': 'Diva Jain', 'id': '1221353787656261632'}]",,,,
6,6,1.609417180776661e+18,1.6094005262440407e+18,1672549932000.0,2023-01-01 05:12:12,0.0,,"@pratimbose @AshwiniVaishnaw @MamataOfficial Need Mamata's police to clear the entrenched squatters. Does she have the political will to do it ? Surely , Railways can invest in station redevelopment if the state wants it.",en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,5.0,https://twitter.com/PrasadSatya10/status/1609417180776660993,[],[],0.0,,False,2.0,1.0,0.0,,None,,,,,,,"[{'screen_name': 'pratimbose', 'name': 'Pratim Ranjan Bose', 'id': '89900755'}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': '852579395315171328'}, {'screen_name': 'MamataOfficial', 'name': 'Mamata Banerjee', 'id': '2526794479'}]",,,,
7,7,1.6094160439147356e+18,1.609357452847493e+18,1672549661000.0,2023-01-01 05:07:41,0.0,,@NewsIADN Upgraded ? Under upgradation ? Partnership with Russian company ? Has Russia-Ukr delayed the project ?,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,5.0,https://twitter.com/PrasadSatya10/status/1609416043914735619,[],[],0.0,,False,3.0,1.0,0.0,,None,,,,,,,"[{'screen_name': 'NewsIADN', 'name': 'Indian Aerospace Defence News (IADN)', 'id': '1468846793995677696'}]",,,,
8,8,1.6093885462548644e+18,1.6093876528848814e+18,1672543105000.0,2023-01-01 03:18:25,0.0,,@hvtiaf Agree. Wish everyone at HAL a successful 2023.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,3.0,https://twitter.com/PrasadSatya10/status/1609388546254864385,[],[],0.0,,False,9.0,0.0,1.0,,None,,,,,,,"[{'screen_name': 'hvtiaf', 'name': 'Harsh Vardhan Thakur', 'id': '2880800053'}]",,,,
9,9,1.609388226183336e+18,1.609039411005784e+18,1672543028000.0,2023-01-01 03:17:08,0.0,,@varinder_bansal Spending the time in the company of loved people  at home makes sense. Noise isn't a metric for assessment of the quality of time spent.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,3.0,https://twitter.com/PrasadSatya10/status/1609388226183335936,[],[],0.0,,False,1.0,2.0,0.0,,None,,,,,,,"[{'screen_name': 'varinder_bansal', 'name': 'Varinder Bansal 🇮🇳', 'id': '485769605'}]",,,,
10,10,1.6093871882063094e+18,1.6090472322460754e+18,1672542781000.0,2023-01-01 03:13:01,0.0,,@anusharavi10 All goods and services produced in the country are for customers. There is no charity in these businesses.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,3.0,https://twitter.com/PrasadSatya10/status/1609387188206309377,[],[],0.0,,False,4.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'anusharavi10', 'name': 'Anusha Ravi Sood', 'id': '242237668'}]",,,,
11,11,1.6093857809250755e+18,1.6093737489390838e+18,1672542445000.0,2023-01-01 03:07:25,0.0,,@hvtiaf Don't push the pillars hard.,en,[],[],8.09969556852609e+17,8.09969556852609e+17,PrasadSatya10,Prasad Satya,7.0,3.0,https://twitter.com/PrasadSatya10/status/1609385780925075457,[],[],0.0,,False,4.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'hvtiaf', 'name': 'Harsh Vardhan Thakur', 'id': '2880800053'}]",,,,
