,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1609254934805110792,1609125054788554754,1672511249000.0,2022-12-31 18:27:29,+0000,,@SupriyaShrinate Agar isko shahadat aur shaheed ka matlab hota toh army hamare naujawano ko shurata par kabhi sawal nahin karta,hi,[],[],135864191,135864191,ShekharrG,$om,6,18,https://twitter.com/ShekharrG/status/1609254934805110792,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'SupriyaShrinate', 'name': 'Supriya Shrinate', 'id': '342096051'}]",,,,
1,1609254392712298496,1609103322077868033,1672511120000.0,2022-12-31 18:25:20,+0000,,@_sayema What's the religion of the terrorists?,en,[],[],135864191,135864191,ShekharrG,$om,6,18,https://twitter.com/ShekharrG/status/1609254392712298496,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': '_sayema', 'name': 'Sayema', 'id': '1136996138'}]",,,,
2,1609253604833234944,1609240593040920579,1672510932000.0,2022-12-31 18:22:12,+0000,,@OpIndia_in @InnovativeHindu Apne bal katne ka hunar bahut jald dikhayega,hi,[],[],135864191,135864191,ShekharrG,$om,6,18,https://twitter.com/ShekharrG/status/1609253604833234944,[],[],0,,False,5,0,0,,None,,,,,,,"[{'screen_name': 'OpIndia_in', 'name': 'ऑपइंडिया', 'id': '1068155700168126464'}, {'screen_name': 'InnovativeHindu', 'name': 'Innovative Hindu 🇮🇳', 'id': '1096566492'}]",,,,
3,1608058340176965634,1607719519996497921,1672225959000.0,2022-12-28 11:12:39,+0000,,"@tavleen_singh Any action taken on Sar Tan se juda gang,?? Any action taken on Owaisi's brother? Who openly gave hate speech??? What about those who pelt stones, openly threaten and keel Hindus?",en,[],[],135864191,135864191,ShekharrG,$om,3,11,https://twitter.com/ShekharrG/status/1608058340176965634,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'tavleen_singh', 'name': 'Tavleen Singh', 'id': '118757160'}]",,,,
4,1607756189244477441,1607755534798815232,1672153920000.0,2022-12-27 15:12:00,+0000,,@Republic_Bharat This very same Shekhar Suman sold Depression theory on Social Media back then,en,[],[],135864191,135864191,ShekharrG,$om,2,15,https://twitter.com/ShekharrG/status/1607756189244477441,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Republic_Bharat', 'name': 'रिपब्लिक भारत', 'id': '938002728898347008'}]",,,,
5,1607730184261865473,1607565410173587456,1672147720000.0,2022-12-27 13:28:40,+0000,,@ShefVaidya Pissfuls of @RanaAyyub @_sayema @khanumarfa @ReallySwara @Javedakhtarjadu @FarOutAkhtar @AzmiShabana,en,[],[],135864191,135864191,ShekharrG,$om,2,13,https://twitter.com/ShekharrG/status/1607730184261865473,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'ShefVaidya', 'name': 'Shefali Vaidya. 🇮🇳', 'id': '1934388686'}]",,,,
6,1607721310007984129,1607703678957551619,1672145604000.0,2022-12-27 12:53:24,+0000,,@khanumarfa 🤣🤣🤣🤣 phir toh use nanga hi jana tha kyun ki Sher kabhi kapde nahin pehna karte. Agli bar usse kaho nanga hi ghuma kare thand mein 🤣🤣🤣,tl,[],[],135864191,135864191,ShekharrG,$om,2,12,https://twitter.com/ShekharrG/status/1607721310007984129,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'khanumarfa', 'name': 'Arfa Khanum Sherwani', 'id': '113571686'}]",,,,
7,1607717544458334210,1607371959385608193,1672144707000.0,2022-12-27 12:38:27,+0000,,@SupriyaShrinate Hamare yahan ayyappa swamiji ke bhakta sirf ek lungi(panche) mein 2 2 mahine tak vrat ka palan karte hain aur bhagwan ke darshan ke liye kathin raste se parvat ki chadayi karke jate hain woh bhi aise freezing winter mein.Rahul Gandhi ne koi mahan kaam nahin kiya. stop blabbering,hi,[],[],135864191,135864191,ShekharrG,$om,2,12,https://twitter.com/ShekharrG/status/1607717544458334210,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'SupriyaShrinate', 'name': 'Supriya Shrinate', 'id': '342096051'}]",,,,
8,1607687815294513152,1607687815294513152,1672137619000.0,2022-12-27 10:40:19,+0000,,@IndiaPostOffice @BbmpchdTeam @BbmpEast @Tejasvi_Surya @CPMGKARNATAKA @HqPostal @BlrCityPolice  Kindly look into this matter as valuables are shockingly missing from the courier service sent through India post,en,[],[],135864191,135864191,ShekharrG,$om,2,10,https://twitter.com/ShekharrG/status/1607687815294513152,[],[],0,,False,1,2,1,https://twitter.com/Analyst_Nayan/status/1607681721281150979,None,,,,,,,[],,,,
9,1607676464778055680,1607627130481037312,1672134913000.0,2022-12-27 09:55:13,+0000,,"@jankibaat1 @Surabhi45343183 @withoutthemind Why is his family silent then??? Only when something comes up, we see them active. Jessica lal murder case, her sister fought back so hard to seek justice. I'm sorry but same conviction not seen with his sisters. Entire nation is fighting but unless the family takes it on toe..",en,[],[],135864191,135864191,ShekharrG,$om,2,09,https://twitter.com/ShekharrG/status/1607676464778055680,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'jankibaat1', 'name': 'Jan Ki Baat', 'id': '4456498874'}, {'screen_name': 'Surabhi45343183', 'name': 'Surabhi srivastava', 'id': '714926253120360452'}, {'screen_name': 'withoutthemind', 'name': 'Priyanka Singh', 'id': '202145219'}]",,,,
