,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1.608911346439172e+18,1.6088580912312689e+18,1672429331000.0,2022-12-30 19:42:11,0.0,,@Abid_Nawab_Ahmd @VVSLaxman281 Thanks Abid..a very humane gesture..stay blessed,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,5.0,19.0,https://twitter.com/Bdjena988/status/1608911346439172097,[],[],0.0,,False,3.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'Abid_Nawab_Ahmd', 'name': 'Abid Nawab', 'id': '1029606933592977408'}, {'screen_name': 'VVSLaxman281', 'name': 'VVS Laxman', 'id': '2500955780'}]",,,,
1,1,1.6081447693893345e+18,1.6080091578941071e+18,1672246565000.0,2022-12-28 16:56:05,0.0,,@SuVe4Madurai @aaimduairport But its ok when he acts in Hindi films and earns crores.. cheap tricks,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,3.0,16.0,https://twitter.com/Bdjena988/status/1608144769389334528,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'SuVe4Madurai', 'name': 'Su Venkatesan MP', 'id': '1108944147589656579'}, {'screen_name': 'aaimduairport', 'name': 'Madurai Airport', 'id': '771673930847227904'}]",,,,
2,2,1.6070419968411853e+18,1.6064409384144773e+18,1671983644000.0,2022-12-25 15:54:04,0.0,,@BasuAshis Has anyone stopped u sir from doing what you did? I believe No..so please continue..but why do u expect others to do what you like? That's a bit unfair,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,7.0,15.0,https://twitter.com/Bdjena988/status/1607041996841185280,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'BasuAshis', 'name': 'Ashis Basu', 'id': '635750362'}]",,,,
3,3,1.606253088293036e+18,1.6061299430410363e+18,1671795553000.0,2022-12-23 11:39:13,0.0,,@HashmiAmit @CMT69153478 @zoo_bear Wah..and why someone's Ishwar or Bhagwaan should be referred to as Allah..(as per ur explanation given below),en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,5.0,11.0,https://twitter.com/Bdjena988/status/1606253088293036032,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'HashmiAmit', 'name': 'Amit Hashmi', 'id': '1250676707834523649'}, {'screen_name': 'CMT69153478', 'name': 'Vishesh', 'id': '998063354726924289'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}]",,,,
4,4,1.6055787853355622e+18,1.6054485036812493e+18,1671634787000.0,2022-12-21 14:59:47,0.0,,"@izharaalam85320 @AnumaVidisha Agar conviction hai ki usne lyrics churaya hai, to FIR darj karao bhai..case Karo uske naam pe..and if u r proven correct, he can never become mahaan...else what u r doing is propaganda",en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,3.0,14.0,https://twitter.com/Bdjena988/status/1605578785335562240,[],[],0.0,,False,3.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'izharaalam85320', 'name': 'Izhar Alam', 'id': '801328790051950592'}, {'screen_name': 'AnumaVidisha', 'name': 'Wg Cdr Anuma Acharya (Retd)', 'id': '927769840693194752'}]",,,,
5,5,1.604876585685119e+18,1.6045482514617754e+18,1671467369000.0,2022-12-19 16:29:29,0.0,,"@JAfridi10 Jokes apart, the army of a nation should guard its own frontiers and provide security to its citizens..not provide security to some sports event which can be managed by a private security agency I suppose..anyways that says the worth..good luck",en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,1.0,16.0,https://twitter.com/Bdjena988/status/1604876585685118976,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'JAfridi10', 'name': 'Javed Afridi', 'id': '567483109'}]",,,,
6,6,1.6048580827562967e+18,1.6047342242708849e+18,1671462958000.0,2022-12-19 15:15:58,0.0,,@rohini_sgh Haan 2 BHK better hai..hai na,in,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,1.0,15.0,https://twitter.com/Bdjena988/status/1604858082756296705,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'rohini_sgh', 'name': 'Rohini Singh', 'id': '267861878'}]",,,,
7,7,1.6047371021968548e+18,1.604710527749755e+18,1671434114000.0,2022-12-19 07:15:14,0.0,,@simar88221738 @Cheetawali @manjeetbeniwa14 @boxervijender Yahi sawaal agar aap se kiya jaye to jawaab doge? Attacking a PM with such derogatory language doesn't augur well for him..differing with someone doesn't have to be so desperate..baki sab apne tareeke se desh ke liye kaam karte hain..to get respect he must give to others,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,1.0,7.0,https://twitter.com/Bdjena988/status/1604737102196854785,[],[],0.0,,False,2.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'simar88221738', 'name': 'Sabhi', 'id': '1233044980173824001'}, {'screen_name': 'manjeetbeniwa14', 'name': 'Manjeet Beniwal', 'id': '2399020718'}, {'screen_name': 'boxervijender', 'name': 'Vijender Singh', 'id': '2314959096'}]",,,,
8,8,1.6047358546262917e+18,1.6043938421567693e+18,1671433816000.0,2022-12-19 07:10:16,0.0,,@JhaSanjay Leave others..only way u guys can have some life is self help..these tweets won't take u through the path of resurrection rather further downhill..though i don't support ur views but I believe in credible opposition with constructive mindset,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,1.0,7.0,https://twitter.com/Bdjena988/status/1604735854626291712,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'JhaSanjay', 'name': 'Sanjay Jha', 'id': '50943008'}]",,,,
9,9,1.6045468225714545e+18,1.6045277826958664e+18,1671388748000.0,2022-12-18 18:39:08,0.0,,@rohini_sgh I as an Indian want to be known by the world through our own unique identity..neither Ms Padukone nor that Khan nor Mr Mishra..stop this patronising attitude..,en,[],[],1.373322044616577e+18,1.373322044616577e+18,Bdjena988,Bdjena,7.0,18.0,https://twitter.com/Bdjena988/status/1604546822571454464,[],[],0.0,,False,0.0,0.0,0.0,,None,,,,,,,"[{'screen_name': 'rohini_sgh', 'name': 'Rohini Singh', 'id': '267861878'}]",,,,
