,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599373115649273856,1599322344383971328,1670155240000.0,2022-12-04 12:00:40,+0000,,@AzmatShekh3 @PATHAN703 Right brother,en,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,7,12,https://twitter.com/shahruk92461711/status/1599373115649273856,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'AzmatShekh3', 'name': 'Azmat Shekh', 'id': '1448538460420194304'}, {'screen_name': 'PATHAN703', 'name': 'Irfan Pathan', 'id': '4363766473'}]",,,,
1,1587280856216965123,1587087829653680128,1667272221000.0,2022-11-01 03:10:21,+0000,,@AsaduddinFan_ Inshallah,in,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,2,03,https://twitter.com/shahruk92461711/status/1587280856216965123,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
2,1583052775448985600,1582723847690031104,1666264168000.0,2022-10-20 11:09:28,+0000,,@aimim_azeem @Mohmmad750 @AliaaaKha @RidaShaikh55 @TamsalAteeq @AnjumAteeq22 @AbdulSa29138877 @001ayyub @Ayesha_khan_123 @chandnii__ @AIMIM_NAJIYA ❤❤❤,und,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,4,11,https://twitter.com/shahruk92461711/status/1583052775448985600,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'aimim_azeem', 'name': 'AZEEM AIMIM🇮🇳', 'id': '1468551732804595714'}, {'screen_name': 'Mohmmad750', 'name': 'Mohmmad Faizan🇮🇳', 'id': '1427443628335456261'}, {'screen_name': 'AliaaaKha', 'name': '👸ρяιи¢єѕѕ αℓια кнαи🇸🇦❤️🇮🇳', 'id': '1451506682589220866'}, {'screen_name': 'RidaShaikh55', 'name': 'Rida Shaikh', 'id': '1539225528456314880'}, {'screen_name': 'TamsalAteeq', 'name': 'Tamsal Ateeq', 'id': '1279656031405002752'}, {'screen_name': 'AnjumAteeq22', 'name': 'Anjum Ateeq', 'id': '3307891483'}, {'screen_name': 'AbdulSa29138877', 'name': 'Abdul Samad (100%FB)🇮🇳🇮🇳', 'id': '1276585720241586178'}, {'screen_name': '001ayyub', 'name': '\uf8ffAr Ayyub', 'id': '2597087994'}, {'screen_name': 'Ayesha_khan_123', 'name': 'Ayesha khan', 'id': '1544944222339473408'}, {'screen_name': 'chandnii__', 'name': '\u200f چاندنی\u200f 🤍', 'id': '1543917647552724994'}, {'screen_name': 'AIMIM_NAJIYA', 'name': 'Najiya Khatoon (AIMIM) (ناجیہ خاتون ) नाजिया खातून', 'id': '1330515725799211010'}]",,,,
3,1576396701585518592,1576229539927445504,1664677236000.0,2022-10-02 02:20:36,+0000,,@aimim_azeem @asadowaisi Right❤,en,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,7,02,https://twitter.com/shahruk92461711/status/1576396701585518592,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'aimim_azeem', 'name': 'AZEEM AIMIM🇮🇳', 'id': '1468551732804595714'}, {'screen_name': 'asadowaisi', 'name': 'Asaduddin Owaisi', 'id': '336611577'}]",,,,
4,1576144180107411456,1575899381588381696,1664617030000.0,2022-10-01 09:37:10,+0000,,@SahilRazvii 🤣🤣🤣,und,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,6,09,https://twitter.com/shahruk92461711/status/1576144180107411456,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'SahilRazvii', 'name': 'Sahil Razvi', 'id': '1377683028219158531'}]",,,,
5,1549811967476604928,1549811967476604928,1658338941000.0,2022-07-20 17:42:21,+0000,,#NewProfilePic  https://t.co/dLsGRHKDci,qme,['newprofilepic'],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,3,17,https://twitter.com/shahruk92461711/status/1549811967476604928,[],['https://pbs.twimg.com/media/FYIJxVJXoAA4txF.jpg'],1,https://pbs.twimg.com/media/FYIJxVJXoAA4txF.jpg,False,0,0,1,,None,,,,,,,[],,,,
6,1548710109848621057,1548656549471690752,1658076238000.0,2022-07-17 16:43:58,+0000,,@saifi_moeen @Murad_AIMIM Inshallah,in,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,7,16,https://twitter.com/shahruk92461711/status/1548710109848621057,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'saifi_moeen', 'name': '(@Moeen.saifi)(مٖ)', 'id': '1357730753380048897'}, {'screen_name': 'Murad_AIMIM', 'name': 'Murad Siddiqui_AIMIM', 'id': '1176899942293504002'}]",,,,
7,1547236929678331904,1547142712084025344,1657725004000.0,2022-07-13 15:10:04,+0000,,@IfrahKhan02 @asadowaisi @imAkbarOwaisi @Akbaruddin_MIM @AfreenFatima137 @iamuzma01 @Iqra_Munawwar_ Mashallah,in,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,3,15,https://twitter.com/shahruk92461711/status/1547236929678331904,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'asadowaisi', 'name': 'Asaduddin Owaisi', 'id': '336611577'}, {'screen_name': 'imAkbarOwaisi', 'name': 'Akbaruddin Owaisi', 'id': '4624209900'}, {'screen_name': 'iamuzma01', 'name': 'Uzma Khan', 'id': '1515442986686943238'}, {'screen_name': 'Iqra_Munawwar_', 'name': 'Iqra Munawwar Hasan', 'id': '1274031303164231680'}]",,,,
8,1547236763227275267,1546980738989338624,1657724965000.0,2022-07-13 15:09:25,+0000,,@AfreenFatima137 وعلیکم السلام ورحمتہ اللہ وبرکاتہ,ur,[],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,3,15,https://twitter.com/shahruk92461711/status/1547236763227275267,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
9,1545856489725874183,1545781455414259712,1657395882000.0,2022-07-09 19:44:42,+0000,,@AfreenFatima137 #FreeSiddiquiKappan,qme,['freesiddiquikappan'],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,6,19,https://twitter.com/shahruk92461711/status/1545856489725874183,[],[],0,,False,1,0,0,,None,,,,,,,[],,,,
