,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1609500365229281281,1609393223826345987,1672569764000.0,2023-01-01 10:42:44,+0000,,@pajeeta_lisa Bro... wait a sec... you're from Bihar??,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,7,10,https://twitter.com/ranveer2252/status/1609500365229281281,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'pajeeta_lisa', 'name': 'Pajeeta Lisa', 'id': '1561820988735598594'}]",,,,
1,1607800521917886466,1607762759609090048,1672164490000.0,2022-12-27 18:08:10,+0000,,@idkshane I see RRR at 11 🥳🥳,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,2,18,https://twitter.com/ranveer2252/status/1607800521917886466,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'idkshane', 'name': 'Shane Sullivan, CPA', 'id': '724151700'}]",,,,
2,1607457585669767168,1607418834700619777,1672082728000.0,2022-12-26 19:25:28,+0000,,@seattle_tax Been there...done that...not fun AT ALL ..(used to be an overexcited kid),en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,1,19,https://twitter.com/ranveer2252/status/1607457585669767168,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'seattle_tax', 'name': 'Ashley the CPA', 'id': '1420075557362933761'}]",,,,
3,1607203808471547904,1607192891855863808,1672022222000.0,2022-12-26 02:37:02,+0000,,"@pajeeta_lisa ""fetching things"" 😂😂",en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,1,02,https://twitter.com/ranveer2252/status/1607203808471547904,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'pajeeta_lisa', 'name': 'Pajeeta Lisa', 'id': '1561820988735598594'}]",,,,
4,1607011510261534720,1607006111957405697,1671976375000.0,2022-12-25 13:52:55,+0000,,@LizDoogCPA Can't believe someone can be this insensitive,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,7,13,https://twitter.com/ranveer2252/status/1607011510261534720,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'LizDoogCPA', 'name': 'Liz, CPA, PSA (NJ)', 'id': '1297932425562030080'}]",,,,
5,1606729148202102784,1606666456934096896,1671909055000.0,2022-12-24 19:10:55,+0000,,@finpoweredfem ❤️❤️,und,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,6,19,https://twitter.com/ranveer2252/status/1606729148202102784,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'finpoweredfem', 'name': 'FinPowered Female', 'id': '1434508282044076035'}]",,,,
6,1605564248670998528,1605557193478066176,1671631321000.0,2022-12-21 14:02:01,+0000,,@pajeeta_lisa The same cousin you were supposed to show around?,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,3,14,https://twitter.com/ranveer2252/status/1605564248670998528,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'pajeeta_lisa', 'name': 'Pajeeta Lisa', 'id': '1561820988735598594'}]",,,,
7,1605484776969814016,1605435487606362112,1671612373000.0,2022-12-21 08:46:13,+0000,,@BowTiedPlant @alxberman Idk about his decision but following might be some of the reason  People he loved working with are based here (easier to be in india than getting them visa etc) Great talent pool for future expansion  No indirect taxation (GST) on export of service,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,3,08,https://twitter.com/ranveer2252/status/1605484776969814016,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'alxberman', 'name': 'Alex Berman 🦈 Omni.us, Cold Email', 'id': '290886318'}]",,,,
8,1605482803977674752,1605435487606362112,1671611903000.0,2022-12-21 08:38:23,+0000,,@alxberman Looking sharp ✌️🔥,en,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,3,08,https://twitter.com/ranveer2252/status/1605482803977674752,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'alxberman', 'name': 'Alex Berman 🦈 Omni.us, Cold Email', 'id': '290886318'}]",,,,
9,1605034903716134912,1605008863430062080,1671505115000.0,2022-12-20 02:58:35,+0000,,@DebFoxFinancial 🙈🙈,und,[],[],1362785409051226118,1362785409051226118,ranveer2252,Ranveer,2,02,https://twitter.com/ranveer2252/status/1605034903716134912,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'DebFoxFinancial', 'name': 'Deborah Fox, CPA', 'id': '1568881446'}]",,,,
