id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment,annotator,annotation_id,updated_at,lead_time,botometerCapEng.score,botometerCapUni.score,botometerOverallRawEng.score,botometerOverallRawUni.score,botometerDisplayEng.score,botometerDisplayUni.score,tweetSentiment.score,tweetHate.score
31706,1541498855061164034,2022-10-09T19:11:18.210103Z,2022-07-01 10:56:03,200,,"@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi It's a bit ironic that many Indians whine about the British Raj, but have no objection to a British Law on ""sedition"" that jailed Freedom Fighters. That very law us being used to curtail freedom of speech which is a RIGHT in a Democracy. Are we STILL a democracy?",en,[],[],799998182209961984,799998182209961984,Nmenon777,Stadtmitte Lokah samastha sukhino bhavantu,5,10,https://twitter.com/Nmenon777/status/1542794148310548480,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Favour,2,281,2022-10-09T19:11:18.210132Z,25.844,0.4479465575931997,0.3469210182245441,0.09,0.05,0.4,0.2,0,1
31705,1541498855061164034,2022-10-09T19:10:49.199776Z,2022-06-27 21:10:48,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi @ArifKIndian,qam,[],[],861103605675327490,861103605675327490,AteequeKLD,Ateeque Chaudhary 🇮🇳,1,21,https://twitter.com/AteequeKLD/status/1541499303629553664,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,unrecoganisable,2,280,2022-10-09T19:10:49.199805Z,8.488,0.8395863545645614,0.8054092120440788,0.86,0.66,4.3,3.3,1,0
31704,1541498855061164034,2022-10-09T19:10:39.108231Z,2022-06-27 21:42:24,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi #IStandWithZubair #ReleaseZubair @zoo_bear,qme,"['istandwithzubair', 'releasezubair']",[],79280418,79280418,CoolHugs_,ImCool 😎,1,21,https://twitter.com/CoolHugs_/status/1541507257615384576,[],[],0,,False,1,1,2,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Favour,2,279,2022-10-09T19:10:39.108261Z,6.661,0.7852210697594887,0.7089830786080018,0.33,0.2,1.6,1.0,1,0
31703,1541498855061164034,2022-10-09T19:10:29.229150Z,2022-06-27 21:50:02,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi We thank you @larrouturou for speaking up. Highhandedness of #BJP government must stop!! Freedom of speech MUST be restored #IStandWithZubair #StandWithTeestaSetalvad,en,"['bjp', 'istandwithzubair', 'standwithteestasetalvad']",[],1384891302534336515,1384891302534336515,ICIMonline,International Council of Indian Muslims,1,21,https://twitter.com/ICIMonline/status/1541509177075535874,[],[],0,,False,2,0,1,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Favour,2,278,2022-10-09T19:10:29.229179Z,12.636,0.7965971518887632,0.8053787930995948,0.63,0.5,3.2,2.5,2,0
31702,1541498855061164034,2022-10-09T19:10:14.808636Z,2022-06-27 21:50:41,200,,"@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi And, who are you?",en,[],[],723542106451546112,723542106451546112,mudde_rama,ಮುದ್ದೆ ರಾಮ,1,21,https://twitter.com/mudde_rama/status/1541509343040143360,[],[],0,,False,71,5,3,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Questioning stature of the speaker (not widely followed),2,277,2022-10-09T19:10:14.808675Z,9.15,0.6414184221423734,0.4658392474232361,0.17,0.09,0.8,0.4,1,0
31701,1541498855061164034,2022-10-09T19:10:04.169242Z,2022-06-27 21:58:55,200,,@larrouturou @HindutvaWatchIn @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi @doamuslims @5Pillarsuk @basherkella @PressTV @RanaAyyub @AfreenFatima136 @MJALSHRIKA @NabiyaKhan11 @SharjeelUsmani,qam,[],[],1143910538797297666,1143910538797297666,MuhammadXunaid0,Muhammad Xunaid,1,21,https://twitter.com/MuhammadXunaid0/status/1541511414967242752,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'HindutvaWatchIn', 'name': 'HindutvaWatch', 'id': '1194987211638411264'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,unrecoganisable,2,276,2022-10-09T19:10:04.169272Z,10.45,0.7611878625273879,0.5488888157824968,0.27,0.12,1.4,0.6,1,0
31700,1541498855061164034,2022-10-09T19:09:51.958814Z,2022-06-27 22:11:05,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi #StandwithZubair,qme,['standwithzubair'],[],1472119098775683072,1472119098775683072,shahruk92461711,𝐌ⓘץａ 𝔹𝔥Ã𝐈,1,22,https://twitter.com/shahruk92461711/status/1541514476545085442,[],[],0,,False,1,1,2,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Favour,2,275,2022-10-09T19:09:51.958843Z,7.117,0.8748575042966269,0.8082278383974655,0.91,0.73,4.6,3.6,1,0
31699,1541498855061164034,2022-10-09T19:09:41.229219Z,2022-06-27 22:16:03,200,,@larrouturou @milligazette @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi Two sides of the BJP government.  The haters are roaming free.  And arresting those who expose lies is a violation of the Constitution of India and international law.  Zubair should be released immediately.,en,[],[],2721843344,2721843344,abdullahsir36,@abdullahsir36,1,22,https://twitter.com/abdullahsir36/status/1541515726351224834,[],[],0,,False,4,1,1,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'milligazette', 'name': 'Milli Gazette', 'id': '84968599'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Favour,2,274,2022-10-09T19:09:41.229251Z,28.508,0.6915799517497913,0.4658392474232361,0.2,0.09,1.0,0.4,0,1
31698,1541498855061164034,2022-10-09T19:09:10.402539Z,2022-06-27 22:37:58,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi You stand or sleep with Zubair....just work for your consituents,en,[],[],1113946270303969280,1113946270303969280,Kaavi2021,Thamiz Sangi,1,22,https://twitter.com/Kaavi2021/status/1541521240061628418,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,"{""choices"": [""Delegitimization of foreign speakers"", ""Misogynistic/slut-shaming""]}",2,273,2022-10-09T19:09:10.402570Z,16.942,0.7470839770895665,0.8006881983123656,0.25,0.37,1.2,1.8,1,0
31697,1541498855061164034,2022-10-09T19:08:51.885707Z,2022-06-27 22:52:15,200,,@larrouturou @zoo_bear @AltNews @PMOIndia @India_NHRC @FranceinIndia @narendramodi kindly manage ur own country...dont interfere in India...we know wat to do...dont need ur advice,en,[],[],1434201266188689408,1434201266188689408,CHILLPI25037592,CHILLPILL,1,22,https://twitter.com/CHILLPI25037592/status/1541524834206851074,[],[],0,,False,39,6,4,,None,,,,,,,"[{'screen_name': 'larrouturou', 'name': 'Pierre Larrouturou', 'id': '18578222'}, {'screen_name': 'zoo_bear', 'name': 'Mohammed Zubair', 'id': '935142655213703168'}, {'screen_name': 'AltNews', 'name': 'Alt News', 'id': '717020664587227136'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'India_NHRC', 'name': 'NHRC India', 'id': '1231877652715208705'}, {'screen_name': 'FranceinIndia', 'name': 'Emmanuel Lenain 🇫🇷🇪🇺', 'id': '1562957431'}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}]",,,,,Delegitimization of foreign speakers,2,272,2022-10-09T19:08:51.885736Z,8.145,0.7920317685697057,0.7828265255249504,0.37,0.29,1.8,1.4,0,0
